"_ID","_X","_Y"
1,725137.2514,5125012.0013
1,725098.2514,5124977.0013
1,725067.0014,5124938.5013
1,724801.2514,5124194.0013
1,724464.0014,5123296.7513
1,725236.2514,5122925.5013
1,725623.2514,5122533.5013
1,725648.7514,5122498.0013
1,725738.2514,5122371.5013
1,725770.2514,5122307.5013
1,725780.7514,5122283.0013
1,725798.7514,5122233.5013
1,725853.0014,5121969.5013
1,725928.7514,5121641.0013
1,726124.7514,5121361.5013
1,726450.5014,5120901.5013
1,726789.7514,5120603.7513
1,726866.0014,5120537.0013
1,726881.7514,5120532.5013
1,727152.7514,5120505.5013
1,727173.7514,5120511.5013
1,727329.5014,5120601.2513
1,727514.7514,5120643.0013
1,727686.5014,5120666.2513
1,728628.7514,5120714.5013
1,728647.0014,5120708.0013
1,728654.7514,5120698.0013
1,728698.2514,5119685.7513
1,728699.0014,5119619.5013
1,728699.0014,5119603.0013
1,728682.2514,5119403.0013
1,728677.7514,5119386.0013
1,728591.5014,5119225.0013
1,728408.5014,5118982.5013
1,728393.2514,5118974.5013
1,728367.0014,5118967.0013
1,728314.5014,5118956.5013
1,727963.5014,5118846.5013
1,727929.5014,5118830.0013
1,727755.7514,5118710.0013
1,727728.2514,5118673.0013
1,727727.2514,5118671.5013
1,727716.2514,5118656.5013
1,727746.5014,5118516.5013
1,727808.2514,5118268.5013
1,727835.5014,5118161.5013
1,727866.5014,5118050.0013
1,727892.5014,5117952.5013
1,727920.5014,5117835.5013
1,727958.2514,5117672.5013
1,727873.7514,5117399.2513
1,727868.2514,5117381.5013
1,727763.2514,5117403.0013
1,727675.2514,5117423.0013
1,727175.0014,5117615.0013
1,727023.7514,5117673.5013
1,726805.2514,5117761.0013
1,726755.2514,5117820.0013
1,726695.7514,5117872.0013
1,726674.2514,5117888.5013
1,726308.5014,5117930.0013
1,726131.2514,5117949.7513
1,726223.7514,5117398.5013
1,726210.2514,5117292.5013
1,726194.0014,5117187.5013
1,726175.2514,5117073.5013
1,726164.2514,5117016.5013
1,726146.2514,5116923.5013
1,726065.5014,5116833.0013
1,725822.7514,5116574.0013
1,725664.2514,5116429.5013
1,725420.0014,5115640.0013
1,725488.5014,5115434.5013
1,725500.2514,5115398.5013
1,725540.5014,5115278.2513
1,725550.5014,5115248.5013
1,725551.2514,5115247.2513
1,725612.5014,5115157.5013
1,725688.5014,5115040.5013
1,725692.7514,5115031.0013
1,725710.2514,5114990.5013
1,725045.7514,5114299.0013
1,724470.0014,5113842.5013
1,724223.0014,5113576.5013
1,724177.7514,5113519.2513
1,724520.7514,5113295.5013
1,724462.0014,5113125.7513
1,723634.7514,5111778.0013
1,723510.0014,5111698.5013
1,722938.2514,5111292.0013
1,722840.5014,5111304.5013
1,722732.7514,5111326.0013
1,722627.5014,5111349.5013
1,722575.0014,5111359.0013
1,722520.5014,5111368.5013
1,722486.7514,5111371.5013
1,722458.5014,5111372.0013
1,722328.0014,5111350.5013
1,722288.2514,5111342.0013
1,720175.0014,5110721.0013
1,720089.5014,5110693.0013
1,720032.7514,5110673.5013
1,719949.2514,5110643.0013
1,719824.0014,5110595.5013
1,719666.5014,5110527.0013
1,718559.5014,5110066.7513
1,718212.2514,5110108.0013
1,718098.7514,5110111.0013
1,717990.2514,5110108.0013
1,717935.0014,5110086.5013
1,717846.7514,5110019.5013
1,717778.2514,5109946.0013
1,717748.2514,5109902.5013
1,717721.0014,5109856.5013
1,717675.2514,5109757.0013
1,717652.5014,5109701.5013
1,717641.0014,5109645.0013
1,717634.5014,5109592.5013
1,717624.2514,5109534.5013
1,717569.0014,5109466.0013
1,717548.2514,5109459.0013
1,717262.5014,5109422.5013
1,717125.2514,5109457.0013
1,716023.7514,5109500.0013
1,715219.5014,5109428.0013
1,715077.0014,5109419.5013
1,714952.0014,5109415.5013
1,714929.5014,5109419.0013
1,714765.5014,5109448.5013
1,714722.7514,5109460.5013
1,714590.0014,5109561.0013
1,714556.0014,5109588.0013
1,714430.0014,5109795.0013
1,714405.7514,5109838.7513
1,714411.0014,5109772.0013
1,714407.0014,5109743.0013
1,714310.0014,5109482.0013
1,713835.0014,5108928.0013
1,713709.0014,5108835.0013
