"city","year","one_theaters","two_theaters","operas_city","operas_city_annals","operas_city_amazon","operas_city_met","city1","copyright_post1801","less_1000","more_1000"
"messina",1782,1,0,0,0,0,0,11,0,1,0
"messina",1783,1,0,0,0,0,0,11,0,1,0
"messina",1784,1,0,0,0,0,0,11,0,1,0
"messina",1785,1,0,0,0,0,0,11,0,1,0
"messina",1786,1,0,1,0,0,0,11,0,1,0
"messina",1787,1,0,0,0,0,0,11,0,1,0
"messina",1788,1,0,0,0,0,0,11,0,1,0
"messina",1789,1,0,0,0,0,0,11,0,1,0
"messina",1790,1,0,0,0,0,0,11,0,1,0
"messina",1791,1,0,0,0,0,0,11,0,1,0
"messina",1792,1,0,0,0,0,0,11,0,1,0
"messina",1793,1,0,1,0,0,0,11,0,1,0
"messina",1794,1,0,0,0,0,0,11,0,1,0
"messina",1795,1,0,0,0,0,0,11,0,1,0
"messina",1796,1,0,0,0,0,0,11,0,1,0
"messina",1797,1,0,0,0,0,0,11,0,1,0
"messina",1798,1,0,0,0,0,0,11,0,1,0
"messina",1799,1,0,0,0,0,0,11,0,1,0
"messina",1800,1,0,0,0,0,0,11,0,1,0
"messina",1801,1,0,0,0,0,0,11,0,1,0
"messina",1802,1,0,0,0,0,0,11,0,1,0
"messina",1803,1,0,0,0,0,0,11,0,1,0
"messina",1804,1,0,0,0,0,0,11,0,1,0
"messina",1805,1,0,0,0,0,0,11,0,1,0
"messina",1806,1,0,0,0,0,0,11,0,1,0
"messina",1807,1,0,0,0,0,0,11,0,1,0
"messina",1808,1,0,0,0,0,0,11,0,1,0
"messina",1809,1,0,0,0,0,0,11,0,1,0
"messina",1810,1,0,0,0,0,0,11,0,1,0
"messina",1811,1,0,1,0,0,0,11,0,1,0
"messina",1812,1,0,0,0,0,0,11,0,1,0
"messina",1813,1,0,0,0,0,0,11,0,1,0
"messina",1814,1,0,0,0,0,0,11,0,1,0
"messina",1815,1,0,0,0,0,0,11,0,1,0
"messina",1816,1,0,0,0,0,0,11,0,1,0
"messina",1817,1,0,0,0,0,0,11,0,1,0
"messina",1818,1,0,0,0,0,0,11,0,1,0
"messina",1819,1,0,0,0,0,0,11,0,1,0
"messina",1820,1,0,0,0,0,0,11,0,1,0
"milan",1781,0,1,1,0,0,0,12,0,0,1
"milan",1782,0,1,1,0,0,0,12,0,0,1
"milan",1783,0,1,1,0,0,0,12,0,0,1
"milan",1784,0,1,1,0,0,0,12,0,0,1
"milan",1785,0,1,1,0,0,0,12,0,0,1
"milan",1786,0,1,1,0,0,0,12,0,0,1
"milan",1787,0,1,1,0,0,0,12,0,0,1
"milan",1788,0,1,1,0,0,0,12,0,0,1
"milan",1789,0,1,1,0,0,0,12,0,0,1
"milan",1790,0,1,1,0,0,0,12,0,0,1
"milan",1791,0,1,1,0,1,0,12,0,0,1
"milan",1792,0,1,1,0,0,0,12,0,0,1
"milan",1793,0,1,1,0,1,0,12,0,0,1
"milan",1794,0,1,1,0,0,0,12,0,0,1
"milan",1795,0,1,1,0,1,0,12,0,0,1
"milan",1796,0,1,1,0,0,0,12,0,0,1
"milan",1797,0,1,1,0,0,0,12,0,0,1
"milan",1798,0,1,1,0,1,0,12,0,0,1
"milan",1799,0,1,1,0,0,0,12,0,0,1
"milan",1800,0,1,1,0,0,0,12,0,0,1
"milan",1801,0,1,4,0,0,1,12,1,0,1
"milan",1802,0,1,3,1,0,1,12,1,0,1
"milan",1803,0,1,2,0,1,1,12,1,0,1
"milan",1804,0,1,2,0,0,1,12,1,0,1
"milan",1805,0,1,2,0,1,1,12,1,0,1
"milan",1806,0,1,2,0,1,1,12,1,0,1
"milan",1807,0,1,2,0,1,1,12,1,0,1
"milan",1808,0,1,4,1,1,1,12,1,0,1
"milan",1809,0,1,4,0,1,1,12,1,0,1
"milan",1810,0,1,2,0,2,2,12,1,0,1
"milan",1811,0,1,4,2,1,1,12,1,0,1
"milan",1812,0,1,3,2,1,1,12,1,0,1
"milan",1813,0,1,2,2,1,1,12,1,0,1
"milan",1814,0,1,3,2,2,2,12,1,0,1
"milan",1815,0,1,2,2,1,1,12,1,0,1
"milan",1816,0,1,2,2,2,1,12,1,0,1
"milan",1817,0,1,3,2,1,1,12,1,0,1
"milan",1818,0,1,2,2,2,1,12,1,0,1
"milan",1819,0,1,3,2,1,1,12,1,0,1
"milan",1820,0,1,2,2,2,1,12,1,0,1
"modena",1781,1,0,1,0,0,0,13,0,1,0
"modena",1782,1,0,0,0,0,0,13,0,1,0
"modena",1783,1,0,1,0,0,0,13,0,1,0
"modena",1784,1,0,1,0,0,0,13,0,1,0
"modena",1785,1,0,0,0,0,0,13,0,1,0
"modena",1786,1,0,1,0,0,0,13,0,1,0
"modena",1787,1,0,0,0,0,0,13,0,1,0
"modena",1788,1,0,1,0,0,0,13,0,1,0
