"composer_id","state1","year","post1801","copyright","copyright_post1801","returning_copyright_post1801","stayers_copyright_post1801","tot_operas","ret_france_austria","comp_operas","annals","met","amazon","returning","stayers"
26,8,1809,1,1,1,0,0,36,1,3,0,0,0,0,0
26,7,1807,1,0,0,0,0,36,1,1,0,0,0,0,0
26,8,1796,0,1,0,0,0,36,1,1,0,0,0,0,0
26,7,1820,1,0,0,0,0,36,1,1,0,0,0,0,0
26,8,1805,1,1,1,0,0,36,1,3,0,0,0,0,0
26,5,1802,1,0,0,0,0,36,1,2,0,0,0,0,0
26,5,1809,1,0,0,0,0,36,1,1,0,0,0,0,0
26,5,1800,0,0,0,0,0,36,0,1,0,0,0,0,0
26,5,1811,1,0,0,0,0,36,1,1,0,0,0,0,0
26,5,1812,1,0,0,0,0,36,1,1,0,0,0,0,0
26,6,1813,1,0,0,0,0,36,1,3,0,0,0,0,0
26,7,1808,1,0,0,0,0,36,1,1,0,0,0,0,0
26,6,1818,1,0,0,0,0,36,1,1,0,0,0,0,0
26,8,1808,1,1,1,0,0,36,1,1,1,1,0,0,0
26,8,1811,1,1,1,0,0,36,1,1,0,0,0,0,0
26,8,1812,1,1,1,0,0,36,1,1,0,0,0,0,0
26,8,1819,1,1,1,0,0,36,1,1,1,1,1,0,0
26,5,1819,1,0,0,0,0,36,1,1,0,0,0,0,0
26,3,1808,1,0,0,0,0,36,0,1,0,0,0,0,0
26,5,1803,1,0,0,0,0,36,1,1,0,0,0,0,0
26,8,1810,1,1,1,0,0,36,1,2,2,0,2,0,0
26,8,1816,1,1,1,0,0,36,1,1,0,0,0,0,0
27,8,1804,1,1,1,0,0,12,1,1,0,0,0,0,0
27,7,1799,0,0,0,0,0,12,1,1,0,0,0,0,0
27,3,1793,0,0,0,0,0,12,0,1,1,1,0,0,0
27,4,1794,0,1,0,0,0,12,1,1,0,0,0,0,0
27,4,1806,1,1,1,0,0,12,1,2,2,0,2,0,0
27,7,1800,0,0,0,0,0,12,1,1,0,0,0,0,0
27,6,1797,0,0,0,0,0,12,1,1,0,0,0,0,0
27,8,1800,0,1,0,0,0,12,1,1,0,0,0,0,0
27,7,1794,0,0,0,0,0,12,1,1,0,0,0,0,0
27,5,1804,1,0,0,0,0,12,1,1,0,0,0,0,0
27,6,1796,0,0,0,0,0,12,1,1,0,0,0,0,0
28,5,1802,1,0,0,0,0,8,0,1,0,0,0,0,0
28,5,1806,1,0,0,0,0,8,0,1,0,0,0,0,0
28,5,1810,1,0,0,0,0,8,0,1,0,0,0,0,0
